text, ,category
Ants have been spotted near the kitchen a few times this week.,Medium  ,pest
A large puddle of water is forming near an electrical outlet.,High  ,water_leak
An intruder is inside the unit right now and the tenant is scared for their safety.,Emergency,security
A closet shelf is a little wobbly but not overloaded.,Low  ,maintenance_minor
Broken stair railing reported near unit 30.,High  ,structural
"Squeaky cabinet hinge reported in unit 100, no safety issue.",Low  ,maintenance_minor
Black mold has been found near the air vents.,High  ,mold
"Structural collapse in progress in unit 61, occupants trapped.",Emergency,structural
"Squeaky cabinet hinge reported in unit 32, no safety issue.",Low  ,maintenance_minor
A light switch cover plate is slightly cracked but wiring is intact.,Low  ,maintenance_minor
"Active fire reported in unit 77, people still inside.",Emergency,fire
Persistent faint gas smell reported in unit 118.,High  ,gas
Broken stair railing reported near unit 50.,High  ,structural
Small water stain slowly spreading on unit 35 ceiling.,Medium  ,water_leak
"Flickering hallway light near unit 39, dim at night.",Medium  ,trip_hazard
Exposed live wiring is sparking in unit 97.,Emergency,electrical
"Flickering hallway light near unit 11, dim at night.",Medium  ,trip_hazard
Someone is trapped inside a stuck elevator with no ventilation.,Emergency,structural
Slightly loose doorbell button at unit 4.,Low  ,maintenance_minor
Broken stair railing reported near unit 62.,High  ,structural
"Squeaky cabinet hinge reported in unit 36, no safety issue.",Low  ,maintenance_minor
"Flickering hallway light near unit 19, dim at night.",Medium  ,trip_hazard
"Active fire reported in unit 113, people still inside.",Emergency,fire
"There's a faint musty smell in a rarely used storage room, no visible mold.",Low  ,maintenance_minor
Heavy mold growth reported in unit 54 bedroom.,High  ,mold
Slightly loose doorbell button at unit 92.,Low  ,maintenance_minor
Heavy mold growth reported in unit 110 bedroom.,High  ,mold
"A gas leak has been confirmed in unit 109, immediate danger.",Emergency,gas
"A gas leak has been confirmed in unit 73, immediate danger.",Emergency,gas
There is an active fire in the kitchen right now.,Emergency,fire
A cabinet drawer sticks slightly when opening.,Low  ,maintenance_minor
Exposed wiring is sparking directly above a child's crib.,Emergency,electrical
Slightly loose doorbell button at unit 60.,Low  ,maintenance_minor
"Squeaky cabinet hinge reported in unit 28, no safety issue.",Low  ,maintenance_minor
"The dryer vent seems to be clogged, minor fire risk over time.",Medium  ,fire
The balcony railing is loose and wobbles when leaned on.,High  ,structural
Small water stain slowly spreading on unit 103 ceiling.,Medium  ,water_leak
"The gate to the pool area doesn't lock, children could wander in unsupervised.",High  ,security
"A gas leak has been confirmed in unit 17, immediate danger.",Emergency,gas
Broken stair railing reported near unit 74.,High  ,structural
There is standing water on the stairs creating a slip hazard.,High  ,trip_hazard
Loose handrail reported near unit 119 stairwell.,Medium  ,structural
"Active fire reported in unit 1, people still inside.",Emergency,fire
"Scorched outlet found in unit 86, warm to the touch.",High  ,electrical
Minor paint peeling near unit 44 window sill.,Low  ,maintenance_minor
"A gas leak has been confirmed in unit 41, immediate danger.",Emergency,gas
Minor paint peeling near unit 112 window sill.,Low  ,maintenance_minor
Mold is spreading heavily across the bedroom ceiling.,High  ,mold
The smoke detector battery is dead and the unit has no working alarm.,High  ,fire
Small water stain slowly spreading on unit 43 ceiling.,Medium  ,water_leak
"Flickering hallway light near unit 71, dim at night.",Medium  ,trip_hazard
Heavy mold growth reported in unit 10 bedroom.,High  ,mold
"A door hinge squeaks but functions normally, no safety issue.",Low  ,maintenance_minor
Persistent faint gas smell reported in unit 70.,High  ,gas
Persistent faint gas smell reported in unit 18.,High  ,gas
Minor paint peeling near unit 96 window sill.,Low  ,maintenance_minor
Sewage water is flooding the unit and a child is in the room.,Emergency,water_leak
The ceiling has collapsed and someone is trapped underneath.,Emergency,structural
"Flickering hallway light near unit 15, dim at night.",Medium  ,trip_hazard
There is a faint but persistent gas smell near the water heater.,High  ,gas
Loose handrail reported near unit 59 stairwell.,Medium  ,structural
"Active fire reported in unit 117, people still inside.",Emergency,fire
Loose handrail reported near unit 67 stairwell.,Medium  ,structural
There are exposed live wires sparking in the living room.,Emergency,electrical
Loose handrail reported near unit 87 stairwell.,Medium  ,structural
"Scorched outlet found in unit 94, warm to the touch.",High  ,electrical
Loose handrail reported near unit 75 stairwell.,Medium  ,structural
"A gas leak has been confirmed in unit 9, immediate danger.",Emergency,gas
A wall socket is scorched and warm to the touch.,High  ,electrical
There's a live wire hanging low in the parking garage.,High  ,electrical
Broken stair railing reported near unit 34.,High  ,structural
A cabinet door hinge is broken and hanging loosely at head height.,Medium  ,structural
"A gas explosion risk is imminent, strong gas smell near the boiler room.",Emergency,gas
A ceiling fan wobbles noticeably when running at high speed.,Medium  ,structural
A downed power line is sparking in the parking lot where people walk.,Emergency,electrical
Ants spotted repeatedly in unit 95 kitchen.,Medium  ,pest
Slightly loose doorbell button at unit 84.,Low  ,maintenance_minor
"Structural collapse in progress in unit 45, occupants trapped.",Emergency,structural
Exposed wiring is visible in a closet that children can access.,High  ,electrical
Ants spotted repeatedly in unit 91 kitchen.,Medium  ,pest
Slightly loose doorbell button at unit 24.,Low  ,maintenance_minor
"Flickering hallway light near unit 23, dim at night.",Medium  ,trip_hazard
Heavy mold growth reported in unit 22 bedroom.,High  ,mold
"Structural collapse in progress in unit 65, occupants trapped.",Emergency,structural
Broken stair railing reported near unit 38.,High  ,structural
There is a chemical spill and people are struggling to breathe.,Emergency,chemical
"Structural collapse in progress in unit 89, occupants trapped.",Emergency,structural
"Squeaky cabinet hinge reported in unit 80, no safety issue.",Low  ,maintenance_minor
Exposed live wiring is sparking in unit 53.,Emergency,electrical
"Scorched outlet found in unit 98, warm to the touch.",High  ,electrical
There's a strong chemical odor coming from the laundry room.,High  ,chemical
Ants spotted repeatedly in unit 3 kitchen.,Medium  ,pest
Heavy mold growth reported in unit 66 bedroom.,High  ,mold
Persistent faint gas smell reported in unit 78.,High  ,gas
"Squeaky cabinet hinge reported in unit 16, no safety issue.",Low  ,maintenance_minor
Persistent faint gas smell reported in unit 58.,High  ,gas
Exposed live wiring is sparking in unit 29.,Emergency,electrical
"The main entrance door lock is broken, security risk overnight.",High  ,security
"I smell gas strongly throughout the apartment, it's an emergency.",Emergency,gas
The mailbox key is a little stiff to turn.,Low  ,maintenance_minor
The doorbell button feels a bit loose but still works.,Low  ,maintenance_minor
A loose floor tile is starting to lift near the entrance.,Medium  ,trip_hazard
Slightly loose doorbell button at unit 72.,Low  ,maintenance_minor
Broken stair railing reported near unit 46.,High  ,structural
"Smoke is filling the hallway, people cannot breathe.",Emergency,fire
Slightly loose doorbell button at unit 116.,Low  ,maintenance_minor
Broken stair railing reported near unit 90.,High  ,structural
"Structural collapse in progress in unit 121, occupants trapped.",Emergency,structural
Slightly loose doorbell button at unit 120.,Low  ,maintenance_minor
"The hallway light has been out for a few days, making it dark at night.",Medium  ,trip_hazard
A tree has fallen through the roof onto a bed where someone was sleeping.,Emergency,structural
Wasps have built a nest right next to the main walkway.,High  ,pest
There's a small gas smell only noticeable right next to the stove.,Medium  ,gas
