text,priority
Reporting spoilt food in the fridge from in the garage.,HIGH
Need help with no power in the store room.,HIGH
Need help with annual inspection by the stairs.,LOW
We have a problem: dripping tap in the bedroom.,MEDIUM
Reporting the ceiling is caving in from in the kitchen.,EMERGENCY
Tenant reports noisy unit in the unit 12.,MEDIUM
We have a problem: dangerous by the stairs.,HIGH
Complaint: small leak by the stairs.,MEDIUM
Noticed damaged in the unit 8.,MEDIUM
Noticed crack in the wall in the unit 8.,MEDIUM
Noticed broken window in the balcony.,HIGH
minor cosmetic issue has been going on in the hallway.,LOW
Complaint: paint peeling near the entrance.,LOW
Reporting damaged from by the stairs.,MEDIUM
Please attend to no electricity by the stairs.,HIGH
severe leak has been going on in the block A.,HIGH
Tenant reports smoke in in the balcony.,EMERGENCY
Please attend to clogged drain in the garage.,MEDIUM
Reporting structural collapse from in the store room.,EMERGENCY
Need help with mold on the wall in the unit.,MEDIUM
Tenant reports water shut off in the bathroom.,HIGH
Noticed live wire in the block A.,EMERGENCY
Tenant reports thermostat not working in the laundry room.,MEDIUM
Please attend to scheduled maintenance in the kitchen.,LOW
cracked tile has been going on on the third floor.,MEDIUM
There is an issue with thermostat not working in the hallway.,MEDIUM
Complaint: toilet clogged in the apartment 5.,MEDIUM
Need help with gas leak by the stairs.,EMERGENCY
Reporting not cooling from in the living room.,MEDIUM
There is an issue with routine tune up on the third floor.,LOW
Tenant reports spoilt food in the fridge in the garage.,HIGH
We have a problem: not working by the stairs.,MEDIUM
Reporting inefficient heating from near the entrance.,MEDIUM
There is minor cosmetic issue in the balcony.,LOW
Noticed cosmetic touch up in the apartment 5.,LOW
Tenant reports electrical wires exposed by the stairs.,HIGH
Noticed no electricity in the unit 8.,HIGH
Need help with minor cosmetic issue in the bathroom.,LOW
inefficient heating has been going on near the entrance.,MEDIUM
Tenant reports mold on the wall in the store room.,MEDIUM
Tenant reports inefficient heating by the stairs.,MEDIUM
burst pipe has been going on in the unit.,EMERGENCY
There is inventory check in the apartment 5.,LOW
Please attend to broken door in the block A.,HIGH
spoilt food in the fridge has been going on in the block A.,HIGH
collapsing wall has been going on in the block B.,EMERGENCY
Complaint: inefficient heating on the third floor.,MEDIUM
Please attend to crack in the wall in the laundry room.,MEDIUM
Reporting no power from in the unit.,HIGH
There is an issue with entire unit without power in the bedroom.,HIGH
We have a problem: gas smell in the laundry room.,EMERGENCY
intruder in the building has been going on in the block A.,HIGH
thermostat not working has been going on by the stairs.,MEDIUM
There is an issue with inefficient heating in the balcony.,MEDIUM
Tenant reports gutted and dangerous in the laundry room.,HIGH
Complaint: gas leak on the third floor.,EMERGENCY
Need help with cracked tile by the stairs.,MEDIUM
Noticed smoke coming from in the unit 12.,EMERGENCY
There is an issue with water stain on the ceiling in the bathroom.,MEDIUM
Reporting electrical wires exposed from in the laundry room.,HIGH
Please attend to smoke coming from in the unit.,EMERGENCY
Reporting unsafe from in the unit.,HIGH
There is thermostat not working in the bedroom.,MEDIUM
Tenant reports booking an appointment in the garage.,LOW
We have a problem: raw sewage in the garage.,EMERGENCY
There is shock from the outlet in the apartment 5.,HIGH
smoke coming from has been going on in the block B.,EMERGENCY
Please attend to booking an appointment near the entrance.,LOW
Noticed minor cosmetic issue in the balcony.,LOW
Please attend to spoilt food in the fridge in the garage.,HIGH
Tenant reports preventative maintenance by the stairs.,LOW
Complaint: structural collapse in the store room.,EMERGENCY
Reporting gutted and dangerous from on the third floor.,HIGH
Complaint: spoilt food in the fridge on the third floor.,HIGH
Tenant reports flickering light on the third floor.,MEDIUM
Need help with electrical fire in the bedroom.,EMERGENCY
Tenant reports scorched outlet in the bedroom.,EMERGENCY
Tenant reports dangerous near the entrance.,HIGH
Need help with leaking ceiling in the hallway.,HIGH
Reporting not working from near the entrance.,MEDIUM
Reporting booking an appointment from in the unit 8.,LOW
Please attend to flooding in in the unit 12.,EMERGENCY
We have a problem: leaking ceiling in the block B.,HIGH
Complaint: flickering light in the unit.,MEDIUM
There is preventative maintenance in the living room.,LOW
There is an issue with scheduled maintenance in the unit.,LOW
Need help with mold on the wall in the unit.,MEDIUM
Need help with scheduled maintenance in the apartment 5.,LOW
Complaint: scheduled maintenance in the balcony.,LOW
maintenance required has been going on on the third floor.,MEDIUM
There is inventory check in the living room.,LOW
Reporting dripping tap from on the third floor.,MEDIUM
Tenant reports faulty wiring causing sparks near the entrance.,EMERGENCY
There is shattered window in the living room.,HIGH
There is minor cosmetic issue in the unit 8.,LOW
Please attend to slow drain near the entrance.,MEDIUM
There is routine check in the store room.,LOW
Need help with electrical wires exposed in the apartment 5.,HIGH
Noticed crack in the wall in the living room.,MEDIUM
Complaint: not heating by the stairs.,MEDIUM
Complaint: routine check in the unit 8.,LOW
Reporting spoilt food in the fridge from near the entrance.,HIGH
There is an issue with gas smell by the stairs.,EMERGENCY
Noticed carbon monoxide detector going off in the bedroom.,EMERGENCY
booking an appointment has been going on on the third floor.,LOW
Please attend to paint peeling in the laundry room.,LOW
Need help with electrical hazard in the bedroom.,HIGH
Please attend to leak under the sink in the store room.,MEDIUM
routine check has been going on near the entrance.,LOW
We have a problem: unsafe in the kitchen.,HIGH
We have a problem: tiny crack in the paint in the apartment 5.,LOW
We have a problem: not working in the apartment 5.,MEDIUM
Complaint: toilet clogged by the stairs.,MEDIUM
We have a problem: gutted and dangerous in the hallway.,HIGH
We have a problem: flooding in in the block B.,EMERGENCY
There is burning smell by the stairs.,EMERGENCY
Tenant reports electrical wires exposed in the unit.,HIGH
Reporting cosmetic touch up from in the lobby.,LOW
Complaint: spoilt food in the fridge in the bedroom.,HIGH
dangerous has been going on in the store room.,HIGH
There is burst pipe in the apartment 5.,EMERGENCY
Complaint: dripping tap in the apartment 5.,MEDIUM
Noticed booking an appointment in the store room.,LOW
Please attend to light not working in the balcony.,MEDIUM
Reporting booking an appointment from in the block A.,LOW
scorched outlet has been going on in the lobby.,EMERGENCY
Need help with noisy unit in the unit.,MEDIUM
Tenant reports intruder in the building near the entrance.,HIGH
There is thermostat not working in the living room.,MEDIUM
Tenant reports paint peeling near the entrance.,LOW
There is an issue with not working in the garage.,MEDIUM
There is an issue with smoke coming from in the balcony.,EMERGENCY
tiny crack in the paint has been going on in the unit 12.,LOW
Please attend to lightbulb needs replacing in the apartment 5.,LOW
Noticed light not working in the laundry room.,MEDIUM
Reporting the ceiling is caving in from in the bathroom.,EMERGENCY
Tenant reports crack in the wall near the entrance.,MEDIUM
seeking a quote has been going on in the block A.,LOW
There is paint peeling in the bedroom.,LOW
Complaint: gutted and dangerous near the entrance.,HIGH
There is an issue with thermostat not working on the third floor.,MEDIUM
Complaint: faulty wiring causing sparks in the block A.,EMERGENCY
Noticed inventory check in the laundry room.,LOW
Noticed annual inspection in the kitchen.,LOW
Need help with broken door in the laundry room.,HIGH
Tenant reports no power in the hallway.,HIGH
We have a problem: shattered window in the unit.,HIGH
Reporting the wall is collapsing from in the bedroom.,EMERGENCY
Please attend to inefficient heating in the balcony.,MEDIUM
Complaint: inefficient heating in the kitchen.,MEDIUM
Complaint: burning smell in the apartment 5.,EMERGENCY
Need help with maintenance required in the balcony.,MEDIUM
There is entire unit without power in the unit.,HIGH
Need help with not heating on the third floor.,MEDIUM
damaged has been going on on the third floor.,MEDIUM
Noticed scheduled maintenance in the block B.,LOW
Noticed intruder in the building in the block B.,HIGH
There is dripping tap in the lobby.,MEDIUM
There is lightbulb needs replacing on the third floor.,LOW
We have a problem: flooding in by the stairs.,EMERGENCY
We have a problem: exposed wires in the bathroom.,EMERGENCY
Reporting broken door from in the hallway.,HIGH
Please attend to maintenance required in the block A.,MEDIUM
Need help with electrical spark by the stairs.,EMERGENCY
Please attend to small leak in the unit.,MEDIUM
Tenant reports inefficient heating in the unit 8.,MEDIUM
Reporting slow drain from in the unit.,MEDIUM
Need help with unsafe near the entrance.,HIGH
Tenant reports inefficient heating on the third floor.,MEDIUM
There is an issue with shattered window in the unit.,HIGH
Please attend to collapsing wall on the third floor.,EMERGENCY
no power has been going on in the block A.,HIGH
Noticed shattered window in the bathroom.,HIGH
Tenant reports clogged drain in the unit.,MEDIUM
Please attend to electrical wires exposed in the unit 12.,HIGH
shattered window has been going on by the stairs.,HIGH
Please attend to not cooling in the block A.,MEDIUM
We have a problem: scheduling a service near the entrance.,LOW
Reporting sparks flying from in the lobby.,EMERGENCY
Noticed burst pipe in the balcony.,EMERGENCY
There is stained carpet in the unit.,MEDIUM
There is an issue with small leak in the store room.,MEDIUM
Noticed dangerous in the laundry room.,HIGH
There is an issue with thermostat not working near the entrance.,MEDIUM
Tenant reports leaking ceiling in the apartment 5.,HIGH
There is inventory check in the block B.,LOW
Complaint: no electricity in the unit 8.,HIGH
Noticed flickering light in the living room.,MEDIUM
Need help with preventative maintenance in the store room.,LOW
We have a problem: severe leak in the bathroom.,HIGH
Noticed entire unit without power in the bathroom.,HIGH
noisy unit has been going on near the entrance.,MEDIUM
Noticed inventory check in the kitchen.,LOW
Please attend to annual inspection in the unit.,LOW
Reporting lightbulb needs replacing from by the stairs.,LOW
There is dripping tap near the entrance.,MEDIUM
There is smelling gas in the laundry room.,EMERGENCY
Tenant reports leaking ceiling in the unit 12.,HIGH
There is entire unit without power in the unit.,HIGH
Please attend to sparks flying in the balcony.,EMERGENCY
Tenant reports mold on the wall near the entrance.,MEDIUM
Noticed the wall is collapsing in the kitchen.,EMERGENCY
small leak has been going on near the entrance.,MEDIUM
Need help with the ceiling is caving in near the entrance.,EMERGENCY
sparking wires has been going on by the stairs.,EMERGENCY
Tenant reports small leak in the balcony.,MEDIUM
Tenant reports cracked tile near the entrance.,MEDIUM
burning smell has been going on in the unit.,EMERGENCY
There is thermostat not working on the third floor.,MEDIUM
Please attend to scheduled maintenance near the entrance.,LOW
Tenant reports pipe burst in the bedroom.,EMERGENCY
Reporting scheduled maintenance from in the unit.,LOW
Please attend to seeking a quote in the store room.,LOW
We have a problem: major leak in the bedroom.,HIGH
Tenant reports routine check in the apartment 5.,LOW
Need help with routine tune up in the unit 12.,LOW
noisy unit has been going on in the apartment 5.,MEDIUM
Tenant reports pipe burst near the entrance.,EMERGENCY
There is water damage to the ceiling in the unit.,HIGH
We have a problem: the wall is collapsing near the entrance.,EMERGENCY
There is an issue with exposed wires in the hallway.,EMERGENCY
inventory check has been going on on the third floor.,LOW
Need help with general enquiry in the store room.,LOW
Please attend to small leak on the third floor.,MEDIUM
Noticed gutted and dangerous in the garage.,HIGH
We have a problem: water flooding in the bedroom.,EMERGENCY
There is seeking a quote in the unit.,LOW
Noticed booking an appointment in the unit 8.,LOW
We have a problem: routine check in the bathroom.,LOW
There is leak under the sink in the unit.,MEDIUM
Reporting fridge broke down from near the entrance.,HIGH
There is an issue with tiny crack in the paint by the stairs.,LOW
Need help with toilet clogged near the entrance.,MEDIUM
Noticed severe leak in the garage.,HIGH
Reporting slow drain from in the unit.,MEDIUM
Complaint: routine check in the bedroom.,LOW
Noticed lightbulb needs replacing in the garage.,LOW
Need help with annual inspection near the entrance.,LOW
Complaint: no water in by the stairs.,HIGH
flickering light has been going on by the stairs.,MEDIUM
Noticed faulty wiring causing sparks in the bathroom.,EMERGENCY
Reporting broken window from in the block B.,HIGH
There is an issue with pipe burst near the entrance.,EMERGENCY
There is cosmetic touch up in the bedroom.,LOW
There is an issue with scheduling a service in the block B.,LOW
There is general enquiry in the unit.,LOW
Complaint: clogged drain in the lobby.,MEDIUM
Noticed electrical fire in the block B.,EMERGENCY
Need help with booking an appointment in the balcony.,LOW
There is ceiling collapse in the unit.,EMERGENCY
Please attend to sparking wires in the block A.,EMERGENCY
Complaint: inefficient heating near the entrance.,MEDIUM
Tenant reports stained carpet in the unit.,MEDIUM
Tenant reports tiny crack in the paint near the entrance.,LOW
Tenant reports cosmetic touch up on the third floor.,LOW
There is an issue with scheduled maintenance on the third floor.,LOW
Tenant reports heavy leak in the unit 12.,HIGH
gas smell has been going on on the third floor.,EMERGENCY
electrical danger has been going on in the unit.,HIGH
Need help with electrical danger in the unit 8.,HIGH
We have a problem: stained carpet in the block A.,MEDIUM
We have a problem: electrical spark on the third floor.,EMERGENCY
There is an issue with booking an appointment near the entrance.,LOW
Tenant reports spoilt food in the fridge in the unit 12.,HIGH
Reporting tiny crack in the paint from on the third floor.,LOW
Tenant reports maintenance required in the kitchen.,MEDIUM
Reporting no electricity from in the hallway.,HIGH
Tenant reports ceiling collapse in the apartment 5.,EMERGENCY
We have a problem: lightbulb needs replacing in the lobby.,LOW
Need help with smoke coming from in the bathroom.,EMERGENCY
Please attend to fridge broke down in the hallway.,HIGH
dripping tap has been going on near the entrance.,MEDIUM
Need help with routine tune up in the store room.,LOW
Tenant reports severe leak in the hallway.,HIGH
Complaint: routine check by the stairs.,LOW
Need help with not working in the store room.,MEDIUM
Tenant reports water stain on the ceiling on the third floor.,MEDIUM
Need help with preventative maintenance on the third floor.,LOW
Need help with water stain on the ceiling in the unit.,MEDIUM
Please attend to general enquiry in the unit.,LOW
Noticed stained carpet in the kitchen.,MEDIUM
clogged drain has been going on near the entrance.,MEDIUM
Tenant reports exposed wires in the laundry room.,EMERGENCY
Please attend to leak under the sink by the stairs.,MEDIUM
Noticed water stain on the ceiling in the lobby.,MEDIUM
Reporting routine check from on the third floor.,LOW
Need help with intruder in the building in the bedroom.,HIGH
general enquiry has been going on in the unit 12.,LOW
We have a problem: not cooling near the entrance.,MEDIUM
Complaint: thermostat not working in the unit.,MEDIUM
leak under the sink has been going on in the apartment 5.,MEDIUM
Noticed toilet clogged in the laundry room.,MEDIUM
There is an issue with the unit is burning in the balcony.,EMERGENCY
cosmetic touch up has been going on in the store room.,LOW
Tenant reports routine tune up by the stairs.,LOW
Please attend to sewage overflowing in the block B.,EMERGENCY
There is an issue with routine tune up in the apartment 5.,LOW
Complaint: flooding in in the laundry room.,EMERGENCY
Noticed general enquiry in the garage.,LOW
Please attend to general enquiry in the unit.,LOW
Please attend to dangerous by the stairs.,HIGH
We have a problem: not working on the third floor.,MEDIUM
Please attend to dripping tap in the block A.,MEDIUM
Need help with paint peeling in the unit.,LOW
dripping tap has been going on by the stairs.,MEDIUM
small leak has been going on in the garage.,MEDIUM
There is cosmetic touch up in the unit 8.,LOW
Tenant reports water shut off by the stairs.,HIGH
We have a problem: slow drain on the third floor.,MEDIUM
There is scorched outlet in the bathroom.,EMERGENCY
There is scheduled maintenance in the apartment 5.,LOW
Complaint: electrical wires exposed in the store room.,HIGH
Complaint: exposed electrical wires near the entrance.,EMERGENCY
Please attend to electrical spark in the unit.,EMERGENCY
Reporting routine tune up from by the stairs.,LOW
fire down the hall has been going on in the garage.,EMERGENCY
Complaint: scheduling a service in the unit 12.,LOW
Noticed scheduling a service in the kitchen.,LOW
Reporting minor cosmetic issue from in the block A.,LOW
Need help with inefficient heating in the unit.,MEDIUM
Reporting light not working from in the unit.,MEDIUM
Noticed broken lock in the block B.,HIGH
We have a problem: entire unit without power in the bathroom.,HIGH
Reporting sewage overflowing from in the block B.,EMERGENCY
Noticed ceiling collapse in the balcony.,EMERGENCY
Need help with flickering light on the third floor.,MEDIUM
Reporting leak under the sink from on the third floor.,MEDIUM
severe leak has been going on near the entrance.,HIGH
Please attend to cracked tile by the stairs.,MEDIUM
Complaint: stained carpet on the third floor.,MEDIUM
Tenant reports flickering light by the stairs.,MEDIUM
Please attend to unsafe by the stairs.,HIGH
Complaint: unsafe in the unit.,HIGH
Tenant reports the ceiling is caving in near the entrance.,EMERGENCY
Complaint: scheduling a service near the entrance.,LOW
Tenant reports tiny crack in the paint in the block A.,LOW
There is burst pipe on the third floor.,EMERGENCY
There is shock from the outlet in the laundry room.,HIGH
There is an issue with gas smell on the third floor.,EMERGENCY
Please attend to pipe burst on the third floor.,EMERGENCY
Complaint: cosmetic touch up in the unit 12.,LOW
Need help with inefficient heating in the store room.,MEDIUM
Please attend to the unit is burning in the bathroom.,EMERGENCY
Please attend to not cooling on the third floor.,MEDIUM
Please attend to raw sewage in the lobby.,EMERGENCY
Complaint: inefficient heating in the unit.,MEDIUM
Complaint: routine tune up in the unit 12.,LOW
Complaint: scorched outlet in the unit.,EMERGENCY
Noticed unsafe in the bedroom.,HIGH
There is an issue with minor cosmetic issue by the stairs.,LOW
Please attend to dripping tap in the unit.,MEDIUM
We have a problem: electrical danger in the block B.,HIGH
There is an issue with paint peeling in the block B.,LOW
Noticed unsafe wiring in the store room.,HIGH
Noticed inefficient heating in the balcony.,MEDIUM
Need help with toilet clogged by the stairs.,MEDIUM
Reporting no electricity from in the unit.,HIGH
Complaint: preventative maintenance in the apartment 5.,LOW
We have a problem: cosmetic touch up near the entrance.,LOW
tiny crack in the paint has been going on in the bedroom.,LOW
preventative maintenance has been going on near the entrance.,LOW
There is an issue with sewage overflowing in the block B.,EMERGENCY
There is an issue with entire unit without power on the third floor.,HIGH
Complaint: preventative maintenance in the unit 12.,LOW
Complaint: damaged on the third floor.,MEDIUM
There is smelling gas in the block A.,EMERGENCY
Noticed inefficient heating in the lobby.,MEDIUM
leak under the sink has been going on in the garage.,MEDIUM
Tenant reports annual inspection in the garage.,LOW
We have a problem: scheduled maintenance in the block B.,LOW
Complaint: not cooling in the block B.,MEDIUM
Please attend to slow drain in the hallway.,MEDIUM
Need help with leaking ceiling in the hallway.,HIGH
We have a problem: electrical wires exposed in the lobby.,HIGH
There is an issue with the unit is burning in the apartment 5.,EMERGENCY
There is broken window in the living room.,HIGH
There is an issue with paint peeling near the entrance.,LOW
flickering light has been going on near the entrance.,MEDIUM
Complaint: unsafe on the third floor.,HIGH
There is lightbulb needs replacing in the laundry room.,LOW
Tenant reports loose live wires near the entrance.,EMERGENCY
Tenant reports major leak by the stairs.,HIGH
Reporting inventory check from in the unit.,LOW
light not working has been going on by the stairs.,MEDIUM
We have a problem: light not working in the apartment 5.,MEDIUM
Reporting minor cosmetic issue from on the third floor.,LOW
There is the unit is burning in the apartment 5.,EMERGENCY
Noticed not working in the hallway.,MEDIUM
Noticed dripping tap in the block B.,MEDIUM
Reporting electrical spark from near the entrance.,EMERGENCY
There is an issue with dripping tap in the unit.,MEDIUM
Reporting routine check from near the entrance.,LOW
burning smell has been going on by the stairs.,EMERGENCY
Tenant reports no water in by the stairs.,HIGH
Reporting burst pipe from by the stairs.,EMERGENCY
Tenant reports booking an appointment in the block B.,LOW
Complaint: pipe burst in the block A.,EMERGENCY
There is an issue with paint peeling by the stairs.,LOW
Reporting smoke in from in the unit.,EMERGENCY
Please attend to ceiling collapse in the store room.,EMERGENCY
Complaint: water shut off by the stairs.,HIGH
Need help with clogged drain near the entrance.,MEDIUM
We have a problem: leak under the sink by the stairs.,MEDIUM
Reporting broken door from near the entrance.,HIGH
Please attend to burst pipe on the third floor.,EMERGENCY
toilet clogged has been going on in the unit.,MEDIUM
Noticed shattered window in the unit 8.,HIGH
Please attend to damaged in the balcony.,MEDIUM
We have a problem: no electricity in the block A.,HIGH
We have a problem: cosmetic touch up in the kitchen.,LOW
Noticed minor cosmetic issue in the apartment 5.,LOW
Need help with slow drain on the third floor.,MEDIUM
There is an issue with no water in on the third floor.,HIGH
Need help with cracked tile on the third floor.,MEDIUM
We have a problem: the ceiling is caving in on the third floor.,EMERGENCY
Need help with maintenance required near the entrance.,MEDIUM
There is mold on the wall in the block B.,MEDIUM
There is general enquiry near the entrance.,LOW
Complaint: inventory check in the hallway.,LOW
Please attend to electrical fire in the bathroom.,EMERGENCY
Complaint: inefficient heating in the hallway.,MEDIUM
There is an issue with lightbulb needs replacing in the store room.,LOW
There is an issue with gutted and dangerous in the unit 8.,HIGH
Please attend to inventory check in the unit 8.,LOW
scheduling a service has been going on in the store room.,LOW
Complaint: scorched outlet near the entrance.,EMERGENCY
There is an issue with scheduling a service in the unit 8.,LOW
Need help with flooding in near the entrance.,EMERGENCY
Complaint: the wall is collapsing by the stairs.,EMERGENCY
There is burst pipe near the entrance.,EMERGENCY
Please attend to sparking wires in the laundry room.,EMERGENCY
Need help with clogged drain on the third floor.,MEDIUM
We have a problem: shattered window in the unit 8.,HIGH
There is collapsing wall on the third floor.,EMERGENCY
We have a problem: not cooling near the entrance.,MEDIUM
There is the ceiling is leaking on the third floor.,HIGH
There is an issue with annual inspection on the third floor.,LOW
Reporting not heating from in the unit.,MEDIUM
Tenant reports gas smell in the bedroom.,EMERGENCY
Need help with major leak in the balcony.,HIGH
Noticed thermostat not working in the unit 12.,MEDIUM
Tenant reports routine check on the third floor.,LOW
minor cosmetic issue has been going on by the stairs.,LOW
Please attend to general enquiry in the apartment 5.,LOW
There is an issue with scheduled maintenance in the laundry room.,LOW
There is loose live wires in the unit.,EMERGENCY
Need help with noisy unit on the third floor.,MEDIUM
damaged has been going on on the third floor.,MEDIUM
There is gutted and dangerous in the store room.,HIGH
electrical fire has been going on in the unit 8.,EMERGENCY
Tenant reports broken lock in the balcony.,HIGH
Tenant reports maintenance required in the unit 12.,MEDIUM
Complaint: not heating on the third floor.,MEDIUM
Complaint: power outage in the kitchen.,HIGH
sparks flying has been going on in the unit 12.,EMERGENCY
Tenant reports cracked tile in the lobby.,MEDIUM
leak under the sink has been going on in the balcony.,MEDIUM
Noticed shock from the outlet in the bedroom.,HIGH
Please attend to sewage overflowing in the unit.,EMERGENCY
Please attend to unsafe wiring in the kitchen.,HIGH
There is broken window in the hallway.,HIGH
Noticed electrical wires exposed in the block B.,HIGH
Tenant reports unsafe in the block A.,HIGH
Need help with broken lock in the kitchen.,HIGH
inefficient heating has been going on near the entrance.,MEDIUM
We have a problem: exposed wiring near the entrance.,EMERGENCY
Noticed thermostat not working in the apartment 5.,MEDIUM
Please attend to not working in the bathroom.,MEDIUM
Please attend to inventory check in the hallway.,LOW
Noticed power outage in the balcony.,HIGH
We have a problem: paint peeling near the entrance.,LOW
Please attend to exposed wires in the bathroom.,EMERGENCY
Tenant reports broken window near the entrance.,HIGH
Noticed preventative maintenance in the unit 12.,LOW
Complaint: shattered window in the bedroom.,HIGH
Need help with thermostat not working in the block A.,MEDIUM
Need help with severe leak in the apartment 5.,HIGH
Tenant reports smelling gas in the balcony.,EMERGENCY
Noticed general enquiry in the block B.,LOW
Complaint: leak under the sink in the lobby.,MEDIUM
Please attend to power outage in the block B.,HIGH
shock from the outlet has been going on on the third floor.,HIGH
We have a problem: smoke coming from in the balcony.,EMERGENCY
There is water damage to the ceiling in the unit 8.,HIGH
Need help with preventative maintenance in the unit.,LOW
Tenant reports exposed wiring in the unit 8.,EMERGENCY
Need help with routine tune up by the stairs.,LOW
